code_ctp	cu1812
code_wind	CU1812.SHF
code_bbg	CUZ8 Comdty
contract_size	5
tick_size	10
tick_value	50
asset_name	copper
exchange	.SHF
first_trade_date1	737047
first_trade_date2	2017-12-18
last_trade_date1	737411
last_trade_date2	2018-12-17
first_notice_date1	737411
first_notice_date2	2018-12-17
first_dlv_date1	737412
first_dlv_date2	2018-12-18
last_dlv_date1	737418
last_dlv_date2	2018-12-24
trading_hours	09:00-11:30;13:30-15:00;21:00-01:00
trading_break	10:15-10:30
holidays	shanghai
init_margin_rate	0.07
